               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.044458,            0.084782,                   0,             0.88153,             0.73087,             0.83011,             0.54048,             0.03512,             0.09518,                   0,             0.00568,             0.00568,             0.00568
                  74,            0.043918,            0.083666,                   0,             0.88233,                0.73,              0.8276,             0.54089,            0.034916,            0.094689,                   0,             0.00562,             0.00562,             0.00562
                  75,            0.044088,            0.084542,                   0,              0.8898,             0.72459,             0.82858,             0.54182,            0.034995,             0.09492,                   0,             0.00556,             0.00556,             0.00556
                  76,            0.044258,            0.085403,                   0,             0.88612,             0.72729,             0.82976,             0.54156,            0.034914,             0.09488,                   0,              0.0055,              0.0055,              0.0055
                  77,            0.044044,             0.08539,                   0,             0.88388,             0.72856,             0.83045,             0.54219,            0.034927,             0.09468,                   0,             0.00544,             0.00544,             0.00544
                  78,             0.04425,            0.084274,                   0,             0.88595,             0.72937,             0.82965,             0.54249,            0.034956,            0.094746,                   0,             0.00538,             0.00538,             0.00538
                  79,            0.044223,            0.085582,                   0,             0.88883,             0.72788,             0.82996,             0.54273,            0.034937,            0.094608,                   0,             0.00532,             0.00532,             0.00532
                  80,            0.044126,            0.083487,                   0,             0.88799,             0.73034,             0.83083,             0.54238,            0.034917,            0.094505,                   0,             0.00526,             0.00526,             0.00526
                  81,            0.044215,             0.08443,                   0,             0.88678,             0.73069,             0.83136,             0.54378,            0.034892,            0.094533,                   0,              0.0052,              0.0052,              0.0052
                  82,            0.044092,            0.083174,                   0,             0.88533,              0.7304,             0.83072,             0.54317,            0.034822,            0.094507,                   0,             0.00514,             0.00514,             0.00514
                  83,             0.04412,            0.084509,                   0,             0.88512,             0.73163,             0.83103,             0.54346,            0.034807,            0.094295,                   0,             0.00508,             0.00508,             0.00508
                  84,            0.043834,            0.083441,                   0,             0.88487,             0.73316,             0.83204,             0.54412,            0.034794,            0.094534,                   0,             0.00502,             0.00502,             0.00502
                  85,             0.04397,            0.084279,                   0,             0.88153,             0.73386,             0.83162,             0.54411,            0.034715,            0.094404,                   0,             0.00496,             0.00496,             0.00496
                  86,            0.043813,            0.083613,                   0,             0.88074,             0.73637,             0.83192,             0.54425,            0.034717,            0.094228,                   0,              0.0049,              0.0049,              0.0049
                  87,            0.043447,            0.082892,                   0,             0.88645,             0.72987,             0.83064,              0.5449,            0.034731,            0.094064,                   0,             0.00484,             0.00484,             0.00484
                  88,            0.043804,            0.083252,                   0,             0.88984,             0.73028,             0.83019,             0.54493,            0.034677,            0.094082,                   0,             0.00478,             0.00478,             0.00478
                  89,            0.043778,            0.083413,                   0,             0.88669,             0.73509,             0.83154,             0.54482,            0.034709,             0.09423,                   0,             0.00472,             0.00472,             0.00472
                  90,             0.04355,            0.082043,                   0,             0.88846,             0.73169,             0.83222,             0.54639,            0.034685,            0.094074,                   0,             0.00466,             0.00466,             0.00466
                  91,            0.043862,            0.082966,                   0,             0.88779,             0.73427,             0.83345,             0.54648,            0.034686,            0.094112,                   0,              0.0046,              0.0046,              0.0046
                  92,            0.043541,            0.083402,                   0,             0.89108,             0.73304,             0.83475,              0.5474,             0.03459,            0.094104,                   0,             0.00454,             0.00454,             0.00454
                  93,            0.043447,            0.083196,                   0,             0.89348,             0.73228,             0.83352,             0.54764,            0.034556,            0.093929,                   0,             0.00448,             0.00448,             0.00448
                  94,             0.04376,            0.084421,                   0,              0.8903,             0.73457,             0.83459,             0.54809,             0.03456,            0.093922,                   0,             0.00442,             0.00442,             0.00442
                  95,            0.043741,            0.084147,                   0,             0.89216,             0.73114,             0.83414,             0.54734,            0.034561,            0.093843,                   0,             0.00436,             0.00436,             0.00436
                  96,            0.043397,            0.081259,                   0,             0.89075,             0.73005,             0.83336,             0.54711,            0.034573,             0.09369,                   0,              0.0043,              0.0043,              0.0043
                  97,            0.043422,            0.082836,                   0,             0.89086,             0.73175,             0.83338,              0.5471,            0.034556,            0.093801,                   0,             0.00424,             0.00424,             0.00424
                  98,            0.043474,            0.082805,                   0,              0.8934,             0.73086,             0.83377,             0.54709,             0.03453,             0.09376,                   0,             0.00418,             0.00418,             0.00418
                  99,            0.043459,            0.083227,                   0,             0.89163,             0.73249,             0.83348,             0.54703,            0.034538,             0.09385,                   0,             0.00412,             0.00412,             0.00412
                 100,            0.043593,            0.083274,                   0,             0.88999,             0.73353,             0.83397,              0.5476,            0.034493,             0.09381,                   0,             0.00406,             0.00406,             0.00406
                 101,            0.043474,            0.083659,                   0,             0.88652,              0.7354,             0.83431,             0.54755,            0.034468,            0.093803,                   0,               0.004,               0.004,               0.004
                 102,            0.043512,            0.083569,                   0,             0.88815,             0.73451,             0.83438,             0.54849,            0.034415,            0.093639,                   0,             0.00394,             0.00394,             0.00394
                 103,            0.043622,            0.081371,                   0,             0.88849,             0.73461,             0.83432,             0.54789,            0.034385,            0.093684,                   0,             0.00388,             0.00388,             0.00388
                 104,            0.043101,            0.082673,                   0,             0.88754,             0.73621,             0.83487,             0.54847,             0.03439,            0.093679,                   0,             0.00382,             0.00382,             0.00382
                 105,            0.043145,            0.083284,                   0,             0.88503,             0.73691,             0.83578,             0.54859,            0.034392,            0.093641,                   0,             0.00376,             0.00376,             0.00376
                 106,            0.043169,            0.081514,                   0,              0.8867,             0.73744,              0.8353,             0.54859,            0.034381,            0.093653,                   0,              0.0037,              0.0037,              0.0037
                 107,            0.043057,            0.082185,                   0,             0.89035,             0.73685,               0.836,             0.54916,            0.034382,              0.0936,                   0,             0.00364,             0.00364,             0.00364
                 108,            0.043877,            0.084123,                   0,             0.88535,             0.73914,              0.8352,              0.5496,            0.034349,            0.093511,                   0,             0.00358,             0.00358,             0.00358
                 109,            0.043057,            0.081657,                   0,             0.88521,             0.73908,             0.83577,             0.54978,            0.034339,            0.093545,                   0,             0.00352,             0.00352,             0.00352
                 110,            0.043146,            0.082095,                   0,             0.88713,             0.73762,             0.83511,             0.54927,            0.034347,            0.093521,                   0,             0.00346,             0.00346,             0.00346
                 111,            0.043436,            0.083732,                   0,             0.88793,             0.73649,             0.83587,             0.54931,            0.034321,            0.093452,                   0,              0.0034,              0.0034,              0.0034
                 112,            0.043332,            0.084321,                   0,             0.89011,             0.73568,               0.836,             0.54922,            0.034292,            0.093416,                   0,             0.00334,             0.00334,             0.00334
                 113,            0.043244,            0.081956,                   0,             0.88986,             0.73527,             0.83601,             0.54967,            0.034293,             0.09338,                   0,             0.00328,             0.00328,             0.00328
                 114,            0.043312,            0.082602,                   0,             0.88932,             0.73539,             0.83584,             0.54974,            0.034293,            0.093412,                   0,             0.00322,             0.00322,             0.00322
                 115,            0.043247,            0.082782,                   0,             0.89075,             0.73642,             0.83631,             0.55031,            0.034271,            0.093364,                   0,             0.00316,             0.00316,             0.00316
                 116,            0.042941,            0.081259,                   0,             0.88745,             0.73762,             0.83639,             0.55055,            0.034281,            0.093357,                   0,              0.0031,              0.0031,              0.0031
                 117,             0.04296,            0.082365,                   0,             0.89011,             0.73615,             0.83645,             0.55085,            0.034258,            0.093281,                   0,             0.00304,             0.00304,             0.00304
                 118,            0.042842,            0.081912,                   0,              0.8909,             0.73702,             0.83688,              0.5513,            0.034218,            0.093278,                   0,             0.00298,             0.00298,             0.00298
                 119,            0.043102,            0.083452,                   0,             0.89187,             0.73662,             0.83617,             0.55121,            0.034194,            0.093357,                   0,             0.00292,             0.00292,             0.00292
                 120,            0.042653,              0.0823,                   0,             0.89404,             0.73468,             0.83627,             0.55146,            0.034183,             0.09333,                   0,             0.00286,             0.00286,             0.00286
                 121,            0.042975,            0.081601,                   0,             0.89169,             0.73678,             0.83656,             0.55108,            0.034188,            0.093314,                   0,              0.0028,              0.0028,              0.0028
                 122,            0.042734,            0.082059,                   0,             0.89298,             0.73586,             0.83656,             0.55149,             0.03418,            0.093275,                   0,             0.00274,             0.00274,             0.00274
                 123,            0.042596,            0.080592,                   0,             0.89135,              0.7355,             0.83594,             0.55115,            0.034192,            0.093303,                   0,             0.00268,             0.00268,             0.00268
                 124,            0.042927,             0.08183,                   0,             0.89172,             0.73559,             0.83547,             0.55121,            0.034179,            0.093272,                   0,             0.00262,             0.00262,             0.00262
                 125,               0.043,            0.082788,                   0,             0.89161,             0.73524,              0.8357,             0.55166,            0.034157,            0.093192,                   0,             0.00256,             0.00256,             0.00256
                 126,            0.042913,            0.082332,                   0,             0.89221,              0.7358,             0.83622,             0.55178,            0.034142,            0.093174,                   0,              0.0025,              0.0025,              0.0025
                 127,            0.042521,            0.080415,                   0,             0.89176,             0.73627,             0.83652,             0.55167,            0.034154,             0.09317,                   0,             0.00244,             0.00244,             0.00244
                 128,             0.04271,            0.082716,                   0,              0.8917,             0.73533,             0.83603,              0.5518,            0.034148,             0.09309,                   0,             0.00238,             0.00238,             0.00238
                 129,            0.042515,            0.079943,                   0,             0.89222,              0.7358,             0.83689,             0.55183,            0.034152,            0.093048,                   0,             0.00232,             0.00232,             0.00232
                 130,            0.042249,            0.080652,                   0,             0.89166,             0.73492,             0.83666,             0.55209,            0.034164,            0.093058,                   0,             0.00226,             0.00226,             0.00226
                 131,            0.042715,             0.07999,                   0,             0.89487,             0.73331,              0.8368,             0.55209,             0.03416,            0.093056,                   0,              0.0022,              0.0022,              0.0022
                 132,            0.042452,            0.079942,                   0,             0.89399,             0.73347,             0.83722,             0.55235,            0.034156,            0.093047,                   0,             0.00214,             0.00214,             0.00214
                 133,            0.042703,            0.080695,                   0,             0.89246,              0.7348,             0.83728,             0.55196,            0.034154,            0.093013,                   0,             0.00208,             0.00208,             0.00208
                 134,            0.042705,            0.080646,                   0,             0.89222,             0.73553,              0.8375,             0.55173,            0.034156,            0.093005,                   0,             0.00202,             0.00202,             0.00202
                 135,            0.042627,            0.080854,                   0,             0.89317,             0.73386,             0.83714,             0.55179,             0.03416,            0.092989,                   0,             0.00196,             0.00196,             0.00196
                 136,            0.042726,            0.081112,                   0,             0.89334,             0.73415,             0.83737,             0.55164,            0.034157,             0.09297,                   0,              0.0019,              0.0019,              0.0019
                 137,            0.042477,            0.081021,                   0,             0.89348,              0.7341,             0.83733,             0.55187,            0.034147,            0.092964,                   0,             0.00184,             0.00184,             0.00184
                 138,            0.042573,            0.080535,                   0,             0.89179,             0.73638,             0.83755,             0.55208,            0.034143,            0.092941,                   0,             0.00178,             0.00178,             0.00178
                 139,            0.042123,            0.078515,                   0,             0.89511,             0.73445,             0.83739,             0.55213,            0.034138,            0.092937,                   0,             0.00172,             0.00172,             0.00172
                 140,            0.042606,            0.080249,                   0,             0.89662,             0.73304,             0.83731,             0.55218,            0.034137,            0.092959,                   0,             0.00166,             0.00166,             0.00166
                 141,            0.042343,            0.080933,                   0,             0.89367,             0.73533,             0.83759,             0.55228,            0.034125,            0.092954,                   0,              0.0016,              0.0016,              0.0016
                 142,            0.042414,            0.080822,                   0,             0.89377,              0.7355,             0.83814,             0.55247,            0.034126,            0.092987,                   0,             0.00154,             0.00154,             0.00154
                 143,            0.042697,            0.080631,                   0,             0.89459,             0.73498,             0.83821,              0.5526,            0.034121,            0.092973,                   0,             0.00148,             0.00148,             0.00148
                 144,            0.042366,            0.082427,                   0,             0.89641,             0.73363,              0.8381,             0.55281,            0.034113,            0.092953,                   0,             0.00142,             0.00142,             0.00142
                 145,            0.041965,            0.079283,                   0,             0.89485,             0.73504,              0.8379,             0.55308,            0.034107,            0.092942,                   0,             0.00136,             0.00136,             0.00136
                 146,            0.042399,            0.080734,                   0,             0.89472,              0.7355,               0.838,             0.55336,            0.034103,            0.092933,                   0,              0.0013,              0.0013,              0.0013
                 147,            0.042407,            0.080625,                   0,              0.8938,             0.73568,             0.83768,             0.55333,            0.034094,            0.092912,                   0,             0.00124,             0.00124,             0.00124
                 148,            0.042039,            0.079996,                   0,             0.89523,             0.73498,             0.83771,             0.55331,            0.034083,            0.092885,                   0,             0.00118,             0.00118,             0.00118
                 149,            0.042204,            0.080382,                   0,             0.89321,             0.73592,             0.83761,             0.55346,            0.034074,             0.09289,                   0,             0.00112,             0.00112,             0.00112
